t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session,pred,infer_us,trial,staged
90,1000,3,2251,-254,0,3,1,3,20,0,3
214,1000,3,2251,-254,0,3,1,3,20,0,3
339,1000,3,2251,-254,0,3,1,3,20,0,3
464,1000,3,2251,-254,0,3,1,3,20,0,3
588,1001,4,2251,-254,0,3,1,3,20,0,3
713,1001,4,2251,-254,0,3,1,3,20,0,3
837,1001,4,2251,-254,0,3,1,3,20,0,3
962,1000,3,2251,-254,0,3,1,3,20,0,3
1087,1000,3,2251,-254,0,3,1,3,20,0,3
1212,1000,3,2252,-253,0,3,1,3,20,0,3
1336,1000,4,2251,-254,0,3,1,3,20,0,3
1461,1000,3,2251,-254,0,3,1,3,20,0,3
1586,1001,4,2251,-254,0,3,1,3,20,0,3
1711,1000,3,2250,-255,0,3,1,3,20,0,3
1836,1000,3,2251,-254,0,3,1,3,38,0,3
1960,1000,3,2251,-254,0,3,1,3,38,0,3
2085,1000,3,2251,-254,0,3,1,3,37,0,3
2209,1000,3,2250,-255,0,3,1,3,20,0,3
2334,1000,3,2251,-254,0,3,1,3,38,0,3
2459,1000,3,2251,-254,0,3,1,3,37,0,3
2584,1000,3,2251,-254,0,3,1,3,37,0,3
2709,1000,3,2251,-254,0,3,1,3,37,0,3
2833,1000,4,2251,-254,0,3,1,3,20,0,3
2957,1000,3,2251,-254,0,3,1,3,20,0,3
3082,1000,4,2251,-254,0,3,1,3,20,0,3
3207,1000,3,2251,-254,0,3,1,3,20,0,3
3332,1000,3,2251,-254,0,3,1,3,20,0,3
3457,1000,3,2251,-254,0,3,1,3,20,0,3
3582,1000,3,2251,-254,0,3,1,3,20,0,3
3707,1000,3,2251,-254,0,3,1,3,20,0,3
3832,1000,4,2251,-254,0,3,1,3,20,0,3
3957,1000,3,2250,-255,0,3,1,3,20,0,3
4082,1000,3,2251,-254,0,3,1,3,20,0,3
4207,1000,3,2252,-253,0,3,1,3,20,0,3
4332,1000,3,2252,-253,0,3,1,3,20,0,3
4456,1000,3,2251,-254,0,3,1,3,20,0,3
4581,1000,3,2251,-254,0,3,1,3,20,0,3
4706,1000,3,2251,-254,0,3,1,3,20,0,3
4831,1001,4,2251,-254,0,3,1,3,20,0,3
4956,1000,3,2251,-254,0,3,1,3,20,0,3
5081,1000,3,2251,-254,0,3,1,3,20,0,3
90,1001,4,2611,106,0,4,1,0,21,0,4
215,1001,4,2613,108,0,4,1,0,21,0,4
339,1001,4,2612,107,0,4,1,0,20,0,4
463,1001,4,2612,107,0,4,1,0,20,0,4
588,1001,4,2612,107,0,4,1,0,21,0,4
713,1001,4,2612,107,0,4,1,0,21,0,4
837,1001,4,2612,107,0,4,1,0,20,0,4
962,1000,4,2612,107,0,4,1,0,21,0,4
1087,1001,4,2612,107,0,4,1,0,20,0,4
1212,1001,4,2612,107,0,4,1,0,20,0,4
1337,1001,4,2612,107,0,4,1,0,21,0,4
1462,1001,4,2611,106,0,4,1,0,21,0,4
1587,1001,4,2612,107,0,4,1,0,21,0,4
1711,1001,4,2612,107,0,4,1,0,21,0,4
1836,1000,4,2612,107,0,4,1,0,21,0,4
1960,1001,4,2613,108,0,4,1,0,21,0,4
2085,1000,3,2612,107,0,4,1,0,20,0,4
2210,1001,4,2612,107,0,4,1,0,20,0,4
2334,1000,3,2613,108,0,4,1,0,21,0,4
2458,1000,3,2612,107,0,4,1,0,20,0,4
2582,1000,3,2612,107,0,4,1,0,21,0,4
