t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session,pred,infer_us,trial,staged,source
90,997,0,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
215,999,2,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
340,997,0,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
464,997,0,2488,-17,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
589,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
713,997,0,2488,-17,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
837,998,1,2488,-17,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
962,997,0,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
1087,998,1,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
1212,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
1336,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
1461,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
1585,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
1710,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
1835,998,1,2488,-17,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
1960,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
2085,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
2210,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
2335,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
2460,999,2,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
2585,999,2,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
2710,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
2834,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
2958,998,1,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
3083,998,2,2488,-17,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
3208,998,1,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
3332,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
3457,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
3582,998,1,2488,-17,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
3707,998,1,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
3831,998,1,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
3956,998,1,2488,-17,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
4080,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
4204,998,1,2489,-16,0,0,1,0,20,0,0,online_trials_20260808_113613.csv
4328,998,1,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
4452,998,1,2489,-16,0,0,1,0,21,0,0,online_trials_20260808_113613.csv
