d_dist_mm_mean,d_dist_mm_std,d_dist_mm_min,d_dist_mm_max,d_ldr_mean,d_ldr_std,d_ldr_min,d_ldr_max,label
1.7,1.4177446878757824,0.0,5.0,-17.3,0.45825756949558394,-18.0,-17.0,0
1.6,0.8,0.0,2.0,-17.0,0.4472135954999579,-18.0,-16.0,0
2.3,1.2688577540449522,0.0,5.0,-17.3,0.6403124237432849,-18.0,-16.0,0
2.8,1.2489995996796797,2.0,5.0,-16.8,1.98997487421324,-18.0,-11.0,0
1.8,1.32664991614216,0.0,5.0,-14.9,2.118962010041709,-18.0,-11.0,0
1.1,0.9433981132056604,0.0,2.0,-12.1,1.8681541692269403,-14.0,-9.0,0
1.4,0.9165151389911679,0.0,2.0,23.8,0.7483314773547883,23.0,25.0,0
1.4,0.8,0.0,2.0,24.2,0.6,23.0,25.0,0
0.8,0.8717797887081347,0.0,2.0,24.6,0.4898979485566356,24.0,25.0,0
1.2,0.9797958971132713,0.0,2.0,24.4,0.66332495807108,23.0,25.0,0
1.6,0.8,0.0,2.0,24.4,0.66332495807108,23.0,25.0,0
1.0,1.0,0.0,2.0,24.8,0.4,24.0,25.0,0
0.9,0.7,-1.0,2.0,41.3,0.45825756949558405,41.0,42.0,0
1.3,0.6403124237432849,1.0,3.0,41.4,0.4898979485566356,41.0,42.0,0
1.9,0.9433981132056604,1.0,3.0,41.4,0.4898979485566356,41.0,42.0,0
2.6,0.66332495807108,1.0,3.0,41.7,0.6403124237432849,41.0,43.0,0
2.7,0.6403124237432849,1.0,3.0,41.9,0.5385164807134504,41.0,43.0,0
2.8,0.6,1.0,3.0,42.0,0.4472135954999579,41.0,43.0,0
-104.4,1.42828568570857,-107.0,-102.0,67.8,0.6,67.0,69.0,1
-103.8,0.6,-104.0,-102.0,68.0,0.7745966692414834,67.0,69.0,1
-103.6,0.8,-104.0,-102.0,68.0,0.7745966692414834,67.0,69.0,1
-103.8,0.6,-104.0,-102.0,68.0,0.6324555320336759,67.0,69.0,1
-104.7,1.1874342087037917,-107.0,-104.0,67.9,0.5385164807134505,67.0,69.0,1
-105.2,1.32664991614216,-107.0,-104.0,68.2,0.6,67.0,69.0,1
-257.0,0.0,-257.0,-257.0,69.8,0.6,69.0,71.0,1
-256.8,1.4000000000000001,-259.0,-253.0,70.1,0.5385164807134505,69.0,71.0,1
-257.0,1.5491933384829668,-259.0,-253.0,69.9,0.5385164807134505,69.0,71.0,1
-256.8,1.4000000000000001,-259.0,-253.0,69.7,0.45825756949558394,69.0,70.0,1
