# session=1 label=3 name=underlit ref_mm=1308 ref_ldr=2494
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
96,1324,16,1059,-1435,0,3,1
227,1324,16,1061,-1433,0,3,1
357,1324,16,1060,-1434,0,3,1
487,1320,12,1061,-1433,0,3,1
617,1324,16,1061,-1433,0,3,1
748,1321,13,1061,-1433,0,3,1
878,1324,16,1060,-1434,0,3,1
1008,1322,14,1062,-1432,0,3,1
1139,1321,13,1061,-1433,0,3,1
1269,1321,13,1059,-1435,0,3,1
1400,1320,12,1060,-1434,0,3,1
1531,1320,12,1060,-1434,0,3,1
1661,1321,13,1060,-1434,0,3,1
1791,1320,12,1060,-1434,0,3,1
1922,1321,13,1061,-1433,0,3,1
2053,1321,13,1060,-1434,0,3,1
2184,1320,12,1060,-1434,0,3,1
2315,1320,12,1061,-1433,0,3,1
2445,1320,11,1060,-1434,0,3,1
2576,1324,16,1060,-1434,0,3,1
2706,1321,13,1061,-1433,0,3,1
2837,1321,13,1061,-1433,0,3,1
2966,1321,13,1061,-1433,0,3,1
3096,1321,13,1060,-1434,0,3,1
3226,1320,12,1060,-1434,0,3,1
3356,1320,12,1061,-1433,0,3,1
3486,1320,12,1059,-1435,0,3,1
3616,1320,12,1061,-1433,0,3,1
3746,1324,16,1060,-1434,0,3,1
3877,1320,12,1060,-1434,0,3,1
4007,1319,11,1060,-1434,0,3,1
4137,1321,13,1060,-1434,0,3,1
4267,1319,11,1060,-1434,0,3,1
4397,1322,14,1060,-1434,0,3,1
4527,1322,14,1061,-1433,0,3,1
4657,1320,12,1061,-1433,0,3,1
4787,1324,16,1061,-1433,0,3,1
4917,1322,14,1060,-1434,0,3,1
5047,1322,14,1061,-1433,0,3,1
