# session=2 label=1 name=too_close ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
66,223,-654,3222,272,0,1,2
166,221,-655,3222,272,0,1,2
266,221,-655,3222,272,0,1,2
366,223,-653,3222,272,0,1,2
466,221,-655,3222,272,0,1,2
566,223,-653,3222,272,0,1,2
666,221,-655,3222,272,0,1,2
766,221,-655,3222,272,0,1,2
866,223,-653,3222,272,0,1,2
966,223,-654,3222,272,0,1,2
1066,221,-655,3222,272,0,1,2
1166,223,-653,3222,272,0,1,2
1266,221,-655,3222,272,0,1,2
1366,222,-654,3222,272,0,1,2
1466,221,-655,3222,272,0,1,2
1566,221,-655,3222,272,0,1,2
1666,221,-655,3222,272,0,1,2
1766,221,-655,3222,272,0,1,2
1866,223,-653,3222,272,0,1,2
1966,221,-655,3222,272,0,1,2
2066,221,-655,3221,271,0,1,2
2166,221,-655,3221,271,0,1,2
2266,222,-654,3221,271,0,1,2
2366,223,-653,3222,272,0,1,2
2466,221,-655,3221,271,0,1,2
2566,221,-655,3221,271,0,1,2
2666,221,-655,3222,272,0,1,2
2767,221,-655,3222,272,0,1,2
2867,221,-655,3221,271,0,1,2
2967,223,-654,3221,271,0,1,2
3066,221,-655,3222,272,0,1,2
3166,221,-655,3221,271,0,1,2
3265,221,-655,3221,271,0,1,2
3365,223,-654,3222,272,0,1,2
3464,221,-655,3221,271,0,1,2
3564,221,-655,3222,272,0,1,2
3664,221,-655,3222,272,0,1,2
3764,221,-655,3222,272,0,1,2
3863,221,-655,3222,272,0,1,2
3962,221,-655,3222,272,0,1,2
4062,221,-655,3222,272,0,1,2
4162,223,-654,3221,271,0,1,2
4262,221,-655,3221,271,0,1,2
4362,221,-655,3222,272,0,1,2
4462,221,-655,3222,272,0,1,2
4562,223,-653,3221,271,0,1,2
4662,223,-653,3222,272,0,1,2
4763,221,-655,3222,272,0,1,2
4863,221,-655,3222,272,0,1,2
4963,221,-655,3222,272,0,1,2
5063,223,-654,3222,272,0,1,2
