# session=2 label=4 name=overlit ref_mm=876 ref_ldr=2950
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,878,2,3818,868,0,4,2
205,878,2,3818,868,0,4,2
324,878,2,3818,868,0,4,2
444,878,2,3818,868,0,4,2
563,878,2,3818,868,0,4,2
682,878,2,3818,868,0,4,2
802,878,2,3818,868,0,4,2
922,876,0,3818,868,0,4,2
1041,876,0,3818,868,0,4,2
1161,876,0,3818,868,0,4,2
1281,878,2,3818,868,0,4,2
1400,878,2,3818,868,0,4,2
1519,878,2,3818,868,0,4,2
1639,878,2,3818,868,0,4,2
1759,878,2,3818,868,0,4,2
1878,876,0,3818,868,0,4,2
1997,878,2,3818,868,0,4,2
2117,877,1,3818,868,0,4,2
2237,876,0,3818,868,0,4,2
2357,878,2,3818,868,0,4,2
2476,878,2,3818,868,0,4,2
2596,876,0,3818,868,0,4,2
2715,876,0,3817,867,0,4,2
2835,876,-0,3818,868,0,4,2
2955,876,0,3818,868,0,4,2
3075,876,0,3818,868,0,4,2
3195,876,0,3817,867,0,4,2
3314,878,2,3818,868,0,4,2
3433,876,0,3817,867,0,4,2
3552,876,0,3818,868,0,4,2
3671,876,0,3818,868,0,4,2
3790,876,0,3817,867,0,4,2
3909,876,0,3818,868,0,4,2
4028,878,2,3818,868,0,4,2
4147,878,2,3817,867,0,4,2
4267,878,2,3817,867,0,4,2
4386,878,2,3817,867,0,4,2
4506,876,0,3817,867,0,4,2
4626,876,0,3817,867,0,4,2
4746,878,2,3817,867,0,4,2
4866,878,2,3817,867,0,4,2
4986,876,0,3817,867,0,4,2
