# session=3 label=0 name=optimal ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
85,896,-1,2585,5,0,0,3
205,896,-1,2585,5,0,0,3
324,898,1,2584,4,0,0,3
444,896,-1,2585,5,0,0,3
564,896,-1,2585,5,0,0,3
684,896,-1,2585,5,0,0,3
804,896,-1,2585,5,0,0,3
924,894,-3,2586,6,0,0,3
1044,897,0,2585,5,0,0,3
1164,896,-1,2585,5,0,0,3
1284,896,-1,2585,5,0,0,3
1404,896,-1,2586,6,0,0,3
1524,898,1,2585,5,0,0,3
1644,896,-1,2585,5,0,0,3
1764,894,-3,2585,5,0,0,3
1885,896,-1,2585,5,0,0,3
2005,896,-1,2584,4,0,0,3
2125,896,-1,2584,4,0,0,3
2245,900,3,2585,5,0,0,3
2365,897,0,2586,6,0,0,3
2484,896,-1,2585,5,0,0,3
2604,897,0,2585,5,0,0,3
2724,897,0,2585,5,0,0,3
2844,897,0,2586,6,0,0,3
2964,897,0,2585,5,0,0,3
3084,897,0,2585,5,0,0,3
3203,897,0,2584,4,0,0,3
3322,896,-1,2585,5,0,0,3
3441,894,-3,2585,5,0,0,3
3560,897,0,2584,4,0,0,3
3679,894,-3,2585,5,0,0,3
3798,897,-0,2585,5,0,0,3
3917,897,0,2585,5,0,0,3
4036,897,0,2585,5,0,0,3
4156,897,0,2585,5,0,0,3
4276,896,-1,2585,5,0,0,3
4396,894,-3,2585,5,0,0,3
4516,897,0,2585,5,0,0,3
4635,894,-3,2586,6,0,0,3
4755,897,0,2586,6,0,0,3
4875,895,-2,2586,6,0,0,3
4995,897,0,2585,5,0,0,3
