# session=3 label=2 name=too_far ref_mm=897 ref_ldr=2580
t_ms,dist_mm,d_dist_mm,ldr,d_ldr,missed,label,session
86,936,39,2575,-5,0,2,3
206,936,39,2575,-5,0,2,3
326,936,39,2575,-5,0,2,3
446,936,39,2574,-6,0,2,3
566,936,39,2574,-6,0,2,3
686,937,40,2574,-6,0,2,3
806,936,39,2575,-5,0,2,3
926,937,40,2576,-4,0,2,3
1046,937,40,2575,-5,0,2,3
1166,937,40,2575,-5,0,2,3
1286,936,39,2575,-5,0,2,3
1406,937,40,2575,-5,0,2,3
1527,936,39,2574,-6,0,2,3
1647,942,45,2575,-5,0,2,3
1767,935,38,2574,-6,0,2,3
1887,936,39,2574,-6,0,2,3
2007,934,37,2575,-5,0,2,3
2127,937,40,2575,-5,0,2,3
2247,934,37,2575,-5,0,2,3
2367,937,40,2575,-5,0,2,3
2487,936,39,2576,-4,0,2,3
2607,936,39,2576,-4,0,2,3
2727,937,40,2574,-6,0,2,3
2847,937,40,2573,-7,0,2,3
2967,937,40,2575,-5,0,2,3
3087,932,35,2574,-6,0,2,3
3207,932,35,2574,-6,0,2,3
3326,937,40,2573,-7,0,2,3
3445,937,40,2575,-5,0,2,3
3564,936,39,2574,-6,0,2,3
3683,936,39,2573,-7,0,2,3
3802,936,39,2575,-5,0,2,3
3921,934,37,2574,-6,0,2,3
4040,937,40,2576,-4,0,2,3
4160,936,39,2573,-7,0,2,3
4280,936,39,2575,-5,0,2,3
4399,936,39,2576,-4,0,2,3
4519,936,39,2574,-6,0,2,3
4639,936,39,2575,-5,0,2,3
4759,937,40,2575,-5,0,2,3
4879,937,40,2575,-5,0,2,3
4999,936,39,2574,-6,0,2,3
