t_ms,dist_mm,ldr_raw,ax,ay,az,gx,gy,gz,pitch,roll,amag,label,session
159,2188.7,323,-1.0210,-0.0073,-0.0062,3.11,3.60,0.85,89.46,-130.36,1.0210,3,99
299,2161.8,320,-1.0168,-0.0076,-0.0057,3.72,2.56,0.37,89.46,-127.16,1.0169,3,99
465,2206.9,193,-1.0172,-0.0077,-0.0060,3.48,3.30,0.61,89.45,-127.87,1.0173,3,99
605,2161.4,212,-1.0193,-0.0077,-0.0056,3.54,3.17,0.73,89.46,-126.14,1.0193,3,99
771,2272.0,351,-1.0211,-0.0071,-0.0052,3.30,3.17,0.67,89.51,-126.55,1.0212,3,99
967,2284.7,220,-1.0190,-0.0076,-0.0048,2.20,3.66,1.40,89.50,-122.17,1.0191,3,99
1107,2166.9,226,-1.0203,-0.0077,-0.0057,3.05,3.30,0.98,89.46,-126.72,1.0203,3,99
1273,2204.6,382,-1.0194,-0.0076,-0.0054,2.81,2.93,0.67,89.48,-125.36,1.0195,3,99
1413,2166.7,348,-1.0195,-0.0073,-0.0048,3.60,2.56,0.37,89.51,-123.02,1.0196,3,99
1579,2302.9,334,-1.0198,-0.0073,-0.0048,3.05,3.11,0.92,89.51,-123.02,1.0198,3,99
1775,2300.8,389,-1.0201,-0.0081,-0.0056,3.42,3.60,0.31,89.45,-124.88,1.0202,3,99
1915,2161.1,364,-1.0192,-0.0077,-0.0052,2.50,3.30,1.40,89.48,-124.32,1.0192,3,99
2081,2166.6,287,-1.0190,-0.0076,-0.0060,2.87,3.23,0.85,89.46,-128.32,1.0191,3,99
2221,2160.9,291,-1.0175,-0.0072,-0.0060,3.54,3.30,0.43,89.47,-129.71,1.0175,3,99
2387,2170.0,214,-1.0156,-0.0081,-0.0068,3.30,3.72,0.79,89.40,-130.31,1.0157,3,99
2583,2302.4,260,-1.0199,-0.0098,-0.0088,3.36,3.42,0.43,89.26,-131.99,1.0200,3,99
2723,2169.8,259,-1.0201,-0.0072,-0.0059,3.48,3.17,0.92,89.48,-129.13,1.0202,3,99
2889,2249.2,247,-1.0177,-0.0077,-0.0050,4.09,2.44,0.49,89.48,-123.06,1.0177,3,99
3029,2166.0,247,-1.0206,-0.0066,-0.0078,3.60,3.91,0.37,89.43,-139.84,1.0207,3,99
