t_ms,dist_mm,ldr_raw,ax,ay,az,gx,gy,gz,pitch,roll,amag,label,session
158,2226.4,455,-1.0197,-0.0098,-0.0046,3.60,3.30,0.79,89.39,-115.41,1.0197,4,99
298,2161.9,439,-1.0200,-0.0094,-0.0040,3.36,3.30,0.85,89.43,-113.20,1.0201,4,99
464,2238.2,196,-1.0187,-0.0072,-0.0032,3.36,3.23,0.73,89.56,-113.78,1.0187,4,99
604,2163.6,223,-1.0211,-0.0077,-0.0062,3.60,3.36,0.55,89.44,-128.99,1.0212,4,99
770,2263.8,210,-1.0193,-0.0084,-0.0046,2.99,3.05,0.79,89.46,-118.84,1.0193,4,99
966,2294.3,162,-1.0201,-0.0098,-0.0070,3.17,3.11,0.61,89.33,-125.47,1.0202,4,99
1106,2163.5,177,-1.0200,-0.0074,-0.0049,3.66,2.93,0.92,89.50,-123.25,1.0201,4,99
1272,2240.0,312,-1.0210,-0.0095,-0.0046,3.30,3.11,0.61,89.41,-115.97,1.0211,4,99
1412,2161.4,286,-1.0200,-0.0093,-0.0043,3.36,3.05,0.61,89.43,-114.73,1.0201,4,99
1578,2277.7,480,-1.0182,-0.0088,0.0005,3.23,3.05,1.04,89.50,-86.82,1.0182,4,99
1774,2292.1,348,-1.0208,-0.0061,-0.0059,3.54,3.05,0.85,89.53,-133.83,1.0208,4,99
1914,2166.7,344,-1.0192,-0.0081,-0.0033,3.23,3.30,0.55,89.51,-112.25,1.0192,4,99
2080,2168.4,441,-1.0210,-0.0079,-0.0020,3.48,3.05,0.49,89.54,-103.83,1.0210,4,99
2220,2166.6,427,-1.0209,-0.0092,-0.0028,3.23,3.36,1.16,89.46,-107.05,1.0209,4,99
2386,2295.5,156,-1.0195,-0.0060,-0.0055,3.72,3.30,0.85,89.54,-132.56,1.0196,4,99
2582,2164.5,376,-1.0177,-0.0079,-0.0012,3.60,3.17,0.73,89.55,-98.75,1.0177,4,99
2722,2164.7,349,-1.0183,-0.0087,-0.0043,3.66,3.42,0.49,89.46,-116.24,1.0184,4,99
2888,2270.3,130,-1.0197,-0.0079,-0.0052,3.66,3.66,0.43,89.47,-123.49,1.0197,4,99
3028,2164.3,162,-1.0199,-0.0083,-0.0050,3.48,3.36,0.73,89.46,-121.09,1.0199,4,99
